DACA;División Académica de Ciencias Agropecuarias;Km. 25. Carretera Villahermosa-Teapa, Teapa, Tabasco, México
DACB;División Académica de Ciencias Básicas;Carretera Cunduacán-Jalpa KM. 1 Col. La Esmeralda, Cunduacán, Tabasco, México
DACBiol;División Académica de Ciencias Biológicas;Carretera Villahermosa-Cárdenas Km. 0.5 S/N, Entronque a Bosques de Saloya, Villahermosa, Tabasco, México
DACEA;División Académica de Ciencias Económico Administrativas;Av. Universidad S/N Zona de la Cultura, Villahermosa, Tabasco, México
DACS;División Académica de Ciencias de la Salud;Av. Gregorio Méndez 2838-A Col. Tamulté, Villahermosa, Tabasco, México
DACSyH;División Académica de Ciencias Sociales y Humanidades;Prolongación de Avenida Paseo Usumacinta S/N Ranchería González Primera Sección, Villahermosa, Tabasco, México
DACyTI;División Académica de Ciencias y Tecnologías de la Información;Carretera Cunduacán-Jalpa KM. 1 Col. La Esmeralda, Cunduacán, Tabasco, México
DAEA;División Académica de Educación y Artes;Av. Universidad S/N Zona de la Cultura, Villahermosa, Tabasco
DAIA;División Académica de Ingeniería y Arquitectura;Carretera Cunduacán-Jalpa KM. 1 Col. La Esmeralda, Cunduacán, Tabasco, México
DAMC;División Académica Multidisciplinaria de Comalcalco;Ranchería Sur 4ta. sección, Comalcalco, Tabasco, México
DAMJM;División Académica Multidisciplinaria de Jalpa de Mendez;Carretera Estatal Libre Villahermosa-Comalcalco Km. 27+000 s/n Ranchería Ribera Alta, Jalpa de Méndez, Tabasco, México
DAMR;División Académica Multidisciplinaria de los Rios;Km. 1. Carretera Tenosique-Estapilla, Tenosique, Tabasco, México
